iter	Passed	Remaining
0	6	2530
1	16	3213
2	23	3175
3	33	3325
4	42	3339
5	49	3278
6	57	3220
7	66	3244
8	74	3227
9	82	3221
10	93	3295
11	100	3242
12	108	3227
13	116	3221
14	123	3167
15	130	3134
16	139	3142
17	146	3114
18	156	3136
19	164	3129
20	173	3127
21	180	3097
22	185	3042
23	188	2954
24	191	2866
25	193	2783
26	203	2818
27	206	2748
28	209	2684
29	214	2641
30	218	2595
31	221	2546
32	226	2519
33	230	2483
34	234	2442
35	240	2431
36	247	2432
37	253	2415
38	259	2400
39	263	2375
40	266	2334
41	269	2294
42	273	2269
43	277	2241
44	280	2210
45	282	2175
46	285	2140
47	287	2107
48	292	2096
49	296	2076
50	300	2055
51	305	2043
52	310	2032
53	314	2014
54	316	1988
55	321	1974
56	325	1961
57	330	1947
58	332	1923
59	335	1901
60	341	1897
61	344	1880
62	348	1861
63	351	1844
64	355	1834
65	359	1816
66	362	1799
67	365	1783
68	369	1774
69	373	1761
70	376	1746
71	380	1732
72	383	1718
73	387	1706
74	390	1691
75	393	1675
76	396	1664
77	400	1653
78	404	1642
79	407	1628
80	409	1614
81	412	1601
82	417	1593
83	420	1581
84	423	1569
85	426	1556
86	429	1543
87	433	1536
88	436	1525
89	439	1514
90	443	1504
91	448	1500
92	451	1491
93	454	1481
94	458	1471
95	463	1466
96	467	1459
97	470	1450
98	474	1441
99	478	1434
100	482	1428
101	485	1419
102	488	1409
103	492	1400
104	495	1392
105	499	1386
106	502	1376
107	505	1366
108	510	1362
109	514	1355
110	518	1350
111	523	1346
112	530	1346
113	536	1345
114	543	1345
115	549	1345
116	556	1346
117	563	1346
118	569	1345
119	577	1346
120	583	1345
121	591	1347
122	597	1345
123	603	1342
124	608	1338
125	613	1333
126	617	1328
127	623	1323
128	626	1317
129	631	1311
130	636	1307
131	641	1303
132	645	1295
133	650	1290
134	653	1283
135	657	1275
136	660	1268
137	663	1260
138	667	1254
139	670	1245
140	674	1238
141	677	1230
142	681	1224
143	684	1217
144	687	1209
145	690	1201
146	693	1194
147	697	1187
148	701	1182
149	705	1175
150	708	1167
151	712	1162
152	716	1156
153	719	1148
154	721	1140
155	724	1132
156	726	1124
157	730	1119
158	734	1112
159	736	1105
160	738	1097
161	742	1090
162	746	1084
163	749	1077
164	751	1071
165	754	1063
166	756	1056
167	760	1049
168	762	1042
169	765	1035
170	767	1028
171	769	1020
172	773	1014
173	776	1009
174	779	1002
175	781	995
176	784	988
177	786	981
178	790	976
179	793	969
180	795	962
181	798	955
182	800	949
183	802	942
184	805	935
185	808	929
186	810	923
187	812	916
188	815	909
189	817	903
190	820	897
191	822	891
192	825	885
193	827	879
194	830	872
195	832	866
196	834	860
197	838	855
198	840	849
199	842	842
200	845	837
201	848	831
202	850	825
203	853	820
204	856	814
205	858	808
206	861	803
207	864	797
208	866	792
209	869	787
210	873	782
211	875	776
212	877	770
213	879	764
214	882	759
215	885	754
216	888	749
217	891	743
218	893	738
219	896	733
220	899	728
221	903	724
222	906	719
223	909	714
224	913	710
225	916	705
226	920	701
227	923	696
228	926	691
229	929	686
230	933	682
231	937	678
232	941	675
233	945	670
234	951	667
235	955	663
236	959	659
237	963	656
238	968	652
239	972	648
240	976	644
241	981	640
242	985	636
243	989	632
244	994	629
245	999	625
246	1003	621
247	1008	618
248	1016	616
249	1022	613
250	1029	611
251	1035	608
252	1041	605
253	1047	601
254	1052	598
255	1057	594
256	1062	591
257	1066	587
258	1072	583
259	1078	580
260	1082	576
261	1086	572
262	1091	568
263	1095	564
264	1100	560
265	1104	556
266	1108	552
267	1112	548
268	1116	543
269	1120	539
270	1124	535
271	1128	531
272	1133	527
273	1137	523
274	1140	518
275	1143	513
276	1146	509
277	1150	505
278	1155	500
279	1158	496
280	1161	491
281	1165	487
282	1169	483
283	1172	479
284	1175	474
285	1178	469
286	1182	465
287	1186	461
288	1188	456
289	1191	451
290	1193	447
291	1197	442
292	1201	438
293	1204	434
294	1206	429
295	1209	424
296	1214	421
297	1218	416
298	1221	412
299	1224	408
300	1226	403
301	1231	399
302	1233	395
303	1236	390
304	1239	386
305	1242	381
306	1246	377
307	1248	373
308	1251	368
309	1253	363
310	1255	359
311	1258	354
312	1260	350
313	1262	345
314	1264	341
315	1267	336
316	1269	332
317	1271	327
318	1274	323
319	1277	319
320	1279	314
321	1281	310
322	1284	306
323	1286	301
324	1288	297
325	1292	293
326	1294	289
327	1297	284
328	1299	280
329	1301	276
330	1304	272
331	1308	267
332	1310	263
333	1313	259
334	1315	255
335	1318	251
336	1320	246
337	1324	242
338	1326	238
339	1329	234
340	1331	230
341	1333	226
342	1337	222
343	1342	218
344	1345	214
345	1347	210
346	1350	206
347	1355	202
348	1359	198
349	1362	194
350	1365	190
351	1368	186
352	1371	182
353	1374	178
354	1377	174
355	1380	170
356	1384	166
357	1387	162
358	1390	158
359	1392	154
360	1395	150
361	1399	146
362	1404	143
363	1407	139
364	1411	135
365	1415	131
366	1420	127
367	1424	123
368	1428	120
369	1432	116
370	1435	112
371	1438	108
372	1441	104
373	1445	100
374	1448	96
375	1451	92
376	1454	88
377	1457	84
378	1460	80
379	1464	77
380	1468	73
381	1470	69
382	1475	65
383	1480	61
384	1484	57
385	1487	53
386	1490	50
387	1494	46
388	1497	42
389	1500	38
390	1503	34
391	1506	30
392	1511	26
393	1515	23
394	1518	19
395	1521	15
396	1526	11
397	1529	7
398	1532	3
399	1535	0
