student_id,attendance_rate,quiz_average,assignment_submission_rate,mobile_engagement_freq,financial_aid_status
STU_UPLOAD_001_2024J,64.4,16.9,33.7,24.0,2
STU_UPLOAD_002_2024J,67.5,83.7,17.5,40.9,1
STU_UPLOAD_003_2024J,18.0,32.9,61.8,52.7,9
STU_UPLOAD_004_2024J,45.7,49.6,33.9,78.9,3
STU_UPLOAD_005_2024J,69.3,41.2,23.4,86.4,6
STU_UPLOAD_006_2024J,18.7,44.3,40.9,34.2,5
STU_UPLOAD_007_2024J,78.6,71.2,56.1,87.7,7
STU_UPLOAD_008_2024J,16.7,37.6,64.1,80.3,6
STU_UPLOAD_009_2024J,59.1,69.3,13.9,24.4,5
STU_UPLOAD_010_2024J,93.7,80.9,84.5,37.3,8
STU_UPLOAD_011_2024J,64.0,43.1,41.8,22.8,5
STU_UPLOAD_012_2024J,69.7,67.6,16.1,59.0,9
STU_UPLOAD_013_2024J,72.0,27.6,42.6,89.1,9
STU_UPLOAD_014_2024J,28.7,40.0,76.1,9.8,1
STU_UPLOAD_015_2024J,78.4,45.9,15.7,82.6,10
STU_UPLOAD_016_2024J,84.5,39.2,66.4,38.6,8
STU_UPLOAD_017_2024J,22.1,25.8,74.1,50.8,10
STU_UPLOAD_018_2024J,46.4,59.9,41.1,89.8,3
STU_UPLOAD_019_2024J,53.3,22.0,14.1,14.3,3
STU_UPLOAD_020_2024J,77.3,47.5,15.5,37.4,8
